,concept,language,word,ID,cc
328,star,ROMANIAN,stea,328,star:3
329,star,ROMANIAN_2,stea,329,star:3
330,star,ROMANIAN_MEGLENO,stew3,330,star:3
331,star,ROMANSH_GRISHUN,Stayl3,331,star:3
332,star,ROMANSH_SURMIRAN,stEyl3,332,star:3
333,star,ROMANSH_SURSILVAN,Steil3,333,star:3
334,star,ROMANSH_VALLADER,stayl3,334,star:3
335,star,SARDINIAN,isteda,335,star:3
336,star,SARDINIAN_CAMPIDANESE,stEda,336,star:3
337,star,SARDINIAN_LOGUDARESE,isteda,337,star:3
338,star,SICILIAN_UnnamedInSource,stida,338,star:3
339,star,SPANISH,estreya,339,star:3
340,star,VALENCIAN,estrEla,340,star:3
341,star,VLACH,stiaua,341,star:3
342,bone,ALBANIAN_GHEG,aSt,342,bone:0
343,bone,ALBANIAN,aSt,343,bone:0
344,bone,ALBANIAN_TOSK,aSt,344,bone:0
345,bone,ARAGONESE,geso,345,bone:1
346,bone,ASTURIAN,uesu,346,bone:2
347,bone,BALEAR_CATALAN,os,347,bone:3
348,bone,CATALAN,os,348,bone:3
349,bone,CATALAN_2,os,349,bone:3
350,bone,CORSICAN,osu,350,bone:4
351,bone,DALMATIAN,vuas,351,bone:5
352,bone,EMILIANO_CARPIGIANO,os,352,bone:3
353,bone,EMILIANO_FERRARESE,os,353,bone:3
354,bone,EMILIANO_REGGIANO,os,354,bone:3
355,bone,FRENCH,os,355,bone:3
356,bone,FRIULIAN,ves,356,bone:6
357,bone,GALICIAN,oso,357,bone:7
358,bone,GASCON,os,358,bone:3
359,bone,ITALIAN,osso,359,bone:8
360,bone,ITALIAN_GROSSETO_TUSCAN,oso,360,bone:7
361,bone,JUDEO_ESPAGNOL,gueso,361,bone:1
362,bone,LANGUEDOCIEN,os,362,bone:3
363,bone,LIGURIAN_GENOESE,Esu,363,bone:9
364,bone,LIGURIAN_RAPALLO,osu,364,bone:4
365,bone,LIGURIAN_STELLA,osu,365,bone:4
366,bone,LOMBARD_BERGAMO,os,366,bone:3
367,bone,LOMBARD_PLESIO,os,367,bone:3
368,bone,NEAPOLITAN_CALABRESE,wos3,368,bone:10
369,bone,NONES,os,369,bone:3
370,bone,NONES_FASSANO,os,370,bone:3
371,bone,NONES_GARDENESE,os,371,bone:3
372,bone,OCCITAN_ARANESE,os,372,bone:3
373,bone,PIEMONTESE_BARBANIA,os,373,bone:3
374,bone,PIEMONTESE_CARMAGNOLA,os,374,bone:3
375,bone,PIEMONTESE_LANZO_TORINESE,os,375,bone:3
376,bone,PIEMONTESE_VERCELLESE,os,376,bone:3
377,bone,PORTUGUESE,osu,377,bone:4
378,bone,ROMAGNOL_RAVENNATE,os,378,bone:3
379,bone,ROMANIAN,os,379,bone:3
380,bone,ROMANIAN_2,os,380,bone:3
381,bone,ROMANIAN_MEGLENO,wos,381,bone:10
382,bone,ROMANSH_GRISHUN,os,382,bone:3
383,bone,ROMANSH_SURMIRAN,os,383,bone:3
384,bone,ROMANSH_SURSILVAN,ies,384,bone:11
385,bone,ROMANSH_VALLADER,os,385,bone:3
386,bone,SARDINIAN,osu,386,bone:4
387,bone,SARDINIAN_CAMPIDANESE,osu,387,bone:4
388,bone,SARDINIAN_LOGUDARESE,osu,388,bone:4
389,bone,SICILIAN_UnnamedInSource,osu,389,bone:4
390,bone,SPANISH,weso,390,bone:1
391,bone,TURIA_AROMANIAN,os,391,bone:3
392,bone,VALENCIAN,os,392,bone:3
393,new,ALBANIAN_GHEG,ri,393,new:0
394,new,ALBANIAN,iri,394,new:1
395,new,ALBANIAN_TOSK,ri,395,new:0
396,new,ARAGONESE,nuebo,396,new:2
397,new,ARPITAN,novo,397,new:3
398,new,ASTURIAN,nuevu,398,new:2
399,new,BALEAR_CATALAN,now,399,new:4
400,new,CATALAN,nou,400,new:5
401,new,CATALAN_2,now,401,new:4
402,new,DALMATIAN,nuf,402,new:6
403,new,EMILIANO_CARPIGIANO,nov,403,new:3
404,new,EMILIANO_FERRARESE,nov,404,new:3
405,new,EMILIANO_REGGIANO,nov,405,new:3
406,new,FRENCH,nuvo,406,new:2
407,new,FRIULIAN,5ouf,407,new:7
408,new,GALICIAN,nobo,408,new:3
409,new,GASCON,nau,409,new:8
410,new,ITALIAN,nwovo,410,new:3
411,new,ITALIAN_GROSSETO_TUSCAN,novo,411,new:3
412,new,JUDEO_ESPAGNOL,muevo,412,new:2
413,new,LANGUEDOCIEN,naw,413,new:9
414,new,LIGURIAN_GENOESE,nEvu,414,new:10
415,new,LIGURIAN_RAPALLO,nEvu,415,new:10
416,new,LIGURIAN_STELLA,nEvu,416,new:10
417,new,LOMBARD_BERGAMO,nof,417,new:11
418,new,LOMBARD_PLESIO,nof,418,new:11
419,new,NEAPOLITAN_CALABRESE,nwov3,419,new:3
420,new,NONES,neo,420,new:12
421,new,NONES_FASSANO,nef,421,new:13
422,new,NONES_GARDENESE,nwef,422,new:13
423,new,OCCITAN_ARANESE,nau,423,new:8
424,new,PIEMONTESE_BARBANIA,nov,424,new:3
425,new,PIEMONTESE_CARMAGNOLA,now,425,new:4
426,new,PIEMONTESE_LANZO_TORINESE,nov,426,new:3
427,new,PIEMONTESE_VERCELLESE,nof,427,new:11
428,new,PORTUGUESE,novu,428,new:10
429,new,ROMAGNOL_RAVENNATE,no3v,429,new:3
430,new,ROMANIAN,nou,430,new:5
431,new,ROMANIAN_2,now,431,new:4
432,new,ROMANIAN_MEGLENO,now,432,new:4
433,new,ROMANSH_GRISHUN,nof,433,new:11
434,new,ROMANSH_SURMIRAN,nof,434,new:11
435,new,ROMANSH_SURSILVAN,nief,435,new:13
436,new,ROMANSH_VALLADER,nowf,436,new:4
437,new,SARDINIAN,nou,437,new:5
438,new,SARDINIAN_CAMPIDANESE,now,438,new:4
439,new,SARDINIAN_LOGUDARESE,novu,439,new:10
440,new,SICILIAN_UnnamedInSource,novu,440,new:10
441,new,SPANISH,nuevo,441,new:2
442,new,VALENCIAN,now,442,new:4
443,new,VLACH,nou,443,new:5
444,full,ALBANIAN_GHEG,cit3,444,full:0
445,full,ALBANIAN,embuSurplotme,445,full:1
446,full,ALBANIAN_TOSK,plot3,446,full:2
447,full,ARAGONESE,pleno,447,full:3
448,full,ARPITAN,plE,448,full:4
449,full,ASTURIAN,Leno,449,full:5
450,full,BALEAR_CATALAN,plE,450,full:4
451,full,CATALAN,plE,451,full:4
452,full,CATALAN_2,plE,452,full:4
453,full,DALMATIAN,plain,453,full:6
454,full,EMILIANO_CARPIGIANO,pin,454,full:6
455,full,EMILIANO_FERRARESE,pin,455,full:6
456,full,EMILIANO_REGGIANO,pin,456,full:6
457,full,FRENCH,pl3,457,full:7
458,full,FRIULIAN,plen,458,full:3
459,full,GALICIAN,Ceo,459,full:8
460,full,GASCON,ple,460,full:3
461,full,ITALIAN,pyEno,461,full:9
462,full,ITALIAN_GROSSETO_TUSCAN,pyEno,462,full:9
463,full,JUDEO_ESPAGNOL,yeno,463,full:5
464,full,LANGUEDOCIEN,ple,464,full:3
465,full,LIGURIAN_GENOESE,piN,465,full:10
466,full,LIGURIAN_RAPALLO,piN,466,full:10
467,full,LIGURIAN_STELLA,CEN,467,full:11
468,full,LOMBARD_BERGAMO,pye,468,full:12
469,full,LOMBARD_PLESIO,pyee,469,full:13
470,full,NEAPOLITAN_CALABRESE,kin3,470,full:14
471,full,NONES,plen,471,full:3
472,full,NONES_FASSANO,pye5,472,full:13
473,full,NONES_GARDENESE,pl35,473,full:7
474,full,OCCITAN_ARANESE,pleN,474,full:3
475,full,PIEMONTESE_BARBANIA,pyEN,475,full:15
476,full,PIEMONTESE_CARMAGNOLA,pyEN,476,full:15
477,full,PIEMONTESE_LANZO_TORINESE,pyEN,477,full:15
478,full,PIEMONTESE_VERCELLESE,piN,478,full:10
479,full,PORTUGUESE,Seyu,479,full:16
480,full,ROMAGNOL_RAVENNATE,pin,480,full:6
481,full,ROMANIAN,plin,481,full:6
482,full,ROMANIAN_2,plin,482,full:6
483,full,ROMANIAN_MEGLENO,plin,483,full:6
484,full,ROMANSH_GRISHUN,playn,484,full:7
485,full,ROMANSH_SURMIRAN,pla5,485,full:7
486,full,ROMANSH_SURSILVAN,plein,486,full:6
487,full,ROMANSH_VALLADER,playn,487,full:7
488,full,SARDINIAN,prenu,488,full:17
489,full,SARDINIAN_CAMPIDANESE,prenu,489,full:17
490,full,SARDINIAN_LOGUDARESE,prenu,490,full:17
491,full,SICILIAN_UnnamedInSource,Cinu,491,full:18
492,full,SPANISH,yeno,492,full:5
493,full,VALENCIAN,plE,493,full:4
494,full,VLACH,mplinu,494,full:6
495,horn,ALBANIAN_GHEG,bri,495,horn:0
496,horn,ALBANIAN,bri,496,horn:0
497,horn,ALBANIAN_TOSK,bri,497,horn:0
498,horn,ARAGONESE,kerno,498,horn:1
499,horn,ASTURIAN,kuernu,499,horn:1
500,horn,BALEAR_CATALAN,ba53,500,horn:2
501,horn,CATALAN,korn,501,horn:1
502,horn,CATALAN_2,ba53,502,horn:2
503,horn,CORSICAN,kori,503,horn:3
504,horn,DALMATIAN,kuarN,504,horn:4
505,horn,EMILIANO_CARPIGIANO,koren,505,horn:1
506,horn,EMILIANO_FERRARESE,koran,506,horn:1
507,horn,EMILIANO_REGGIANO,koren,507,horn:1
508,horn,FRENCH,korn,508,horn:1
509,horn,FRIULIAN,kar,509,horn:5
510,horn,GALICIAN,korno,510,horn:1
511,horn,GASCON,korno,511,horn:1
512,horn,ITALIAN,korno,512,horn:1
513,horn,ITALIAN_GROSSETO_TUSCAN,korno,513,horn:1
514,horn,JUDEO_ESPAGNOL,kuerno,514,horn:1
515,horn,LANGUEDOCIEN,korno,515,horn:1
516,horn,LIGURIAN_GENOESE,kornu,516,horn:1
517,horn,LIGURIAN_RAPALLO,kornu,517,horn:1
518,horn,LIGURIAN_STELLA,kornu,518,horn:1
519,horn,LOMBARD_BERGAMO,koren,519,horn:1
520,horn,LOMBARD_PLESIO,kornu,520,horn:1
521,horn,NEAPOLITAN_CALABRESE,korn3,521,horn:1
522,horn,NONES,korn,522,horn:1
523,horn,NONES_FASSANO,korn,523,horn:1
524,horn,NONES_GARDENESE,korn,524,horn:1
525,horn,OCCITAN_ARANESE,korno,525,horn:1
526,horn,PIEMONTESE_BARBANIA,korn,526,horn:1
